CourseCode	ShortTitle	LongTitle	BeginTime	EndTime	Meets	Building	Room	Enrollment	Capacity	Professor
MUSI 184  A	FLUTE LESSON	FLUTE LESSON (1 HR)	NULL	NULL		PFAC	43	2	2	Dr. Wolfe
MUSI 185  A	GUITAR LSN	GUITAR LESSON (1/2 HR)	NULL	NULL		PFAC	43	2	2	Dr. Wolfe
MUSI 186  A	GUITAR LSN	GUITAR LESSON (1 HR)	NULL	NULL		PFAC	43	7	8	Dr. Wolfe
MUSI 187  A	HARP LSN	HARP LESSON (1/2 HR)	NULL	NULL		PFAC	31	4	4	Dr. Wolfe
MUSI 188  A	HARP LSN	HARP LESSON (1 HR)	NULL	NULL		PFAC	31	1	1	Dr. Wolfe
MUSI 191  A	SAX LSN	SAXOPHONE LESSON (1/2 HR)	NULL	NULL		PFAC	67	1	1	Dr. Wolfe
MUSI 192  A	SAX LESSON	SAXOPHONE LESSON (1 HR)	NULL	NULL		PFAC	67	1	1	Dr. Wolfe
MUSI 199  A	RECITAL ATTND	MUSIC RECITAL ATTENDANCE-MAJORS	15:00:00	15:50:00	F	PFAC	106	63	75	Dr. Wolfe
MUSI 199  B	MUSIC REC ATND	MUSIC RECITAL ATTENDANCE-MINORS	15:00:00	15:50:00	F	PFAC	106	24	28	Dr. Wolfe
MUSI 204  A	HARMONY II/FORM	HARMONY II/FORM-ANALYSIS	13:00:00	13:50:00	TR	PFAC	112	17	17	Dr. Wolfe
MUSI 206  A	SOLFEGGIO IV	SOLFEGGIO IV	12:00:00	12:50:00	MW	PFAC	112	14	14	Dr. Wolfe
MUSI 209  A	VOCAL METHODS	VOCAL METHODS	10:00:00	10:50:00	MW	PFAC	68	10	12	Dr. Wolfe
MUSI 219  A	BEGIN CONDUCT	BEGINNING CONDUCTING	11:00:00	11:50:00	MW	PFAC	106	3	3	Dr. Wolfe
MUSI 223  A	OPERA WORKSHOP	OPERA WORKSHOP	13:00:00	14:50:00	M	PFAC	21	10	12	Dr. Wolfe
MUSI 290  A	STDY: VOCL DICT	STUDY: FRENCH GERMAN VOCAL DICTION	08:30:00	09:20:00	TR	PFAC	68	5	6	Dr. Wolfe
MUSI 303  A	COUNTERPOINT	COUNTERPOINT	11:00:00	11:50:00	F	PFAC	119	2	2	Dr. Wolfe
MUSI 304  A	INSTRUMENTATION	INSTRUMENTATION	11:00:00	11:50:00	MW	PFAC	119	5	6	Dr. Wolfe
MUSI 307  A	STRING METHODS	STRING METHODS	13:00:00	13:50:00	MW	PFAC	25	16	19	Dr. Wolfe
MUSI 315  A	MUSIC METH/ELEM	MUSIC METHODS/ELEMENTARY TEACHERS	12:00:00	12:50:00	M	PFAC	69	28	33	Dr. Wolfe
MUSI 318  A	ADV INSTR CONDU	ADV INSTR CONDUCTING	14:00:00	14:50:00	MW	PFAC	106	16	19	Dr. Wolfe
MUSI 325  A	CHURCH MUSIC	CHURCH MUSIC	13:00:00	13:50:00	MW	PFAC	69	8	9	Dr. Wolfe
MUSI 330  A	WORLD MUSIC	WORLD MUSIC	14:00:00	14:50:00	MWF	PFAC	112	7	8	Dr. Wolfe
MUSI 332  A	MUSIC HIST II	MUSIC HISTORY II	09:00:00	09:50:00	MWF	PFAC	68	15	18	Dr. Wolfe
MUSI 332  B	MUSIC HIST II	MUSIC HISTORY II	09:00:00	09:50:00	MWF	PFAC	69	10	12	Dr. Wolfe
MUSI 460  A	INDEPENDENT STU	INDEPENDENT STUDY	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
MUSI 460  B	INDEPENDENT STU	INDEPENDENT STUDY	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
MUSI 476  A	SENIOR RECITAL	SENIOR MUSIC RECITAL	NULL	NULL		PFAC	112	10	10	Dr. Wolfe
MUSI 477  A	PIANO PROF EXAM	PIANO PROFICIENCY EXAM	NULL	NULL		NULL	NULL	1	1	Dr. Wolfe
PHIL 161  A	INTRO TO PHIL	INTRO TO PHILOSOPHY	14:00:00	14:50:00	MWF	HAL	323	14	16	Dr. Wolfe
PHIL 201  A	SYMBOLIC LOGIC	SYMBOLIC LOGIC	11:00:00	11:50:00	MWF	HAL	323	25	30	Dr. Wolfe
